epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,225.306,1.40438,0.73241,1.23378,0.64394,0.63519,0.64911,0.44547,1.43668,0.70167,1.3668,0.00131016,0.00131016,0.00131016
44,230.364,1.42342,0.74671,1.2661,0.64981,0.63181,0.65265,0.43992,1.47969,0.69301,1.4102,0.00130733,0.00130733,0.00130733
45,235.534,1.42286,0.73794,1.23428,0.63743,0.62946,0.6476,0.44341,1.487,0.70331,1.40123,0.00130451,0.00130451,0.00130451
46,240.587,1.41633,0.73664,1.23333,0.64309,0.62735,0.64774,0.42833,1.53123,0.74216,1.40744,0.00130168,0.00130168,0.00130168
47,245.651,1.40981,0.73622,1.22807,0.63608,0.62264,0.64385,0.43721,1.52014,0.73849,1.4108,0.00129885,0.00129885,0.00129885
48,250.819,1.42967,0.7365,1.2473,0.60305,0.61835,0.64821,0.41892,1.62559,0.77807,1.45567,0.00129602,0.00129602,0.00129602
49,255.973,1.40889,0.73081,1.23661,0.64267,0.63471,0.64966,0.44361,1.47223,0.70677,1.37661,0.00129319,0.00129319,0.00129319
50,261.291,1.39132,0.72154,1.23505,0.64018,0.6122,0.65027,0.45486,1.39743,0.72569,1.34699,0.00129036,0.00129036,0.00129036
51,266.535,1.37916,0.71801,1.21235,0.64272,0.63108,0.64722,0.44358,1.48284,0.74224,1.41718,0.00128753,0.00128753,0.00128753
52,271.7,1.42447,0.72137,1.24234,0.64338,0.62636,0.64706,0.42824,1.60601,0.7437,1.45485,0.0012847,0.0012847,0.0012847
53,276.809,1.38994,0.71261,1.22234,0.64835,0.63471,0.65389,0.46156,1.34446,0.7187,1.31775,0.00128187,0.00128187,0.00128187
54,281.984,1.35222,0.69288,1.20357,0.62884,0.62834,0.6545,0.46097,1.36433,0.70082,1.31241,0.00127904,0.00127904,0.00127904
55,287.06,1.37869,0.71646,1.21252,0.64208,0.63731,0.65065,0.45849,1.36126,0.68043,1.31875,0.00127621,0.00127621,0.00127621
56,292.167,1.40591,0.70072,1.21572,0.63493,0.63217,0.64548,0.45589,1.37775,0.72733,1.31587,0.00127338,0.00127338,0.00127338
57,297.33,1.34048,0.69198,1.20227,0.65,0.6317,0.65128,0.4544,1.41823,0.64869,1.35112,0.00127055,0.00127055,0.00127055
58,302.624,1.34876,0.68611,1.18972,0.63507,0.61801,0.63857,0.4128,1.66613,0.795,1.46021,0.00126772,0.00126772,0.00126772
59,307.705,1.37993,0.70702,1.20296,0.63854,0.62564,0.64582,0.42131,1.61576,0.76461,1.43903,0.00126489,0.00126489,0.00126489
60,312.798,1.33607,0.68759,1.19673,0.65035,0.63483,0.65325,0.45689,1.41739,0.6745,1.36109,0.00126206,0.00126206,0.00126206
61,317.921,1.34562,0.67824,1.18376,0.65066,0.63518,0.65206,0.42962,1.53555,0.70555,1.40493,0.00125923,0.00125923,0.00125923
62,323.04,1.34587,0.67805,1.17751,0.64405,0.63834,0.65042,0.45694,1.42133,0.65379,1.35713,0.00125641,0.00125641,0.00125641
63,328.196,1.30898,0.66316,1.16983,0.6374,0.63871,0.65009,0.44578,1.47037,0.72208,1.34859,0.00125358,0.00125358,0.00125358
64,333.334,1.31171,0.66728,1.17763,0.64735,0.63907,0.65016,0.45309,1.41089,0.68799,1.32803,0.00125075,0.00125075,0.00125075
65,339.187,1.32423,0.65952,1.17116,0.64187,0.63108,0.65022,0.45751,1.33877,0.70658,1.30194,0.00124792,0.00124792,0.00124792
66,344.339,1.34839,0.6832,1.18957,0.63724,0.63145,0.65196,0.44903,1.37923,0.70483,1.32113,0.00124509,0.00124509,0.00124509
67,349.502,1.33334,0.67058,1.18414,0.65023,0.63689,0.65529,0.45612,1.39955,0.63684,1.34488,0.00124226,0.00124226,0.00124226
68,354.665,1.31691,0.65086,1.17759,0.65007,0.63215,0.65135,0.45126,1.4295,0.66425,1.36615,0.00123943,0.00123943,0.00123943
69,359.782,1.30615,0.6623,1.18836,0.64547,0.63478,0.64906,0.46526,1.3953,0.64665,1.33784,0.0012366,0.0012366,0.0012366
70,365.048,1.28938,0.64883,1.16464,0.65419,0.64089,0.65444,0.465,1.39027,0.62806,1.31628,0.00123377,0.00123377,0.00123377
71,370.231,1.29563,0.64514,1.16784,0.64967,0.63399,0.65638,0.45048,1.46333,0.64399,1.3626,0.00123094,0.00123094,0.00123094
72,375.309,1.28916,0.64181,1.16488,0.64862,0.63591,0.65215,0.46945,1.33251,0.61855,1.29801,0.00122811,0.00122811,0.00122811
73,380.497,1.33254,0.66382,1.16445,0.65078,0.62927,0.65092,0.46652,1.36877,0.6328,1.3208,0.00122528,0.00122528,0.00122528
74,385.643,1.26969,0.62712,1.14327,0.6476,0.63369,0.65449,0.45442,1.3924,0.63333,1.32026,0.00122245,0.00122245,0.00122245
75,390.698,1.27692,0.6303,1.15724,0.64749,0.63762,0.65196,0.46277,1.37586,0.62926,1.31072,0.00121962,0.00121962,0.00121962
76,395.767,1.30733,0.63754,1.1712,0.64483,0.6398,0.65144,0.44738,1.41541,0.68076,1.36806,0.00121679,0.00121679,0.00121679
77,400.857,1.29306,0.63451,1.15969,0.65574,0.63253,0.65271,0.46014,1.41238,0.6521,1.34559,0.00121396,0.00121396,0.00121396
78,405.999,1.29942,0.63337,1.17321,0.65315,0.6358,0.6518,0.46647,1.34758,0.64467,1.31039,0.00121113,0.00121113,0.00121113
79,411.086,1.28638,0.63311,1.14983,0.64627,0.63893,0.65315,0.4661,1.36396,0.63433,1.30111,0.00120831,0.00120831,0.00120831
80,416.224,1.27215,0.61962,1.14401,0.65379,0.63762,0.65436,0.45933,1.43825,0.60971,1.33853,0.00120548,0.00120548,0.00120548
81,421.365,1.26135,0.61991,1.13091,0.65213,0.63762,0.65592,0.46706,1.4063,0.64243,1.32325,0.00120265,0.00120265,0.00120265
82,426.515,1.25526,0.61088,1.1374,0.64902,0.63224,0.6511,0.46265,1.41382,0.63742,1.32089,0.00119982,0.00119982,0.00119982
83,431.665,1.25032,0.6196,1.14504,0.65513,0.63362,0.65143,0.4427,1.43735,0.64111,1.34775,0.00119699,0.00119699,0.00119699
84,436.747,1.23861,0.60713,1.13173,0.65155,0.63855,0.655,0.45558,1.44582,0.61988,1.31896,0.00119416,0.00119416,0.00119416
85,441.863,1.25943,0.62289,1.15567,0.65546,0.63544,0.65395,0.46319,1.41414,0.6328,1.31814,0.00119133,0.00119133,0.00119133
86,446.957,1.25758,0.62165,1.15264,0.65027,0.64337,0.65553,0.46036,1.42699,0.62248,1.329,0.0011885,0.0011885,0.0011885
87,452.057,1.23187,0.60762,1.12762,0.65248,0.63778,0.65422,0.47809,1.34295,0.59044,1.30055,0.00118567,0.00118567,0.00118567
88,457.298,1.25201,0.60901,1.13139,0.65051,0.63689,0.65293,0.46094,1.4402,0.629,1.37308,0.00118284,0.00118284,0.00118284
89,462.397,1.26482,0.61244,1.15375,0.65379,0.6323,0.65607,0.47204,1.37988,0.60243,1.3132,0.00118001,0.00118001,0.00118001
90,467.507,1.23896,0.60791,1.12848,0.65068,0.63544,0.65256,0.47287,1.35274,0.61954,1.29153,0.00117718,0.00117718,0.00117718
91,472.634,1.2183,0.60326,1.11746,0.65095,0.6358,0.65407,0.46091,1.44042,0.626,1.33176,0.00117435,0.00117435,0.00117435
92,477.735,1.24233,0.61057,1.14828,0.65288,0.63593,0.65517,0.46201,1.48359,0.62716,1.37178,0.00117152,0.00117152,0.00117152
93,482.839,1.23171,0.60152,1.13356,0.64706,0.63866,0.65454,0.46034,1.50476,0.64204,1.37379,0.00116869,0.00116869,0.00116869
94,487.946,1.26728,0.61653,1.13595,0.97346,0.63907,0.65217,0.46741,1.37187,0.64476,1.30524,0.00116586,0.00116586,0.00116586
95,493.077,1.26926,0.61488,1.15087,0.98415,0.64234,0.65607,0.47483,1.3472,0.58885,1.28261,0.00116303,0.00116303,0.00116303
96,498.246,1.20816,0.59145,1.10575,0.98142,0.63453,0.65556,0.46613,1.37868,0.59833,1.31266,0.00116021,0.00116021,0.00116021
97,503.371,1.19779,0.58291,1.12403,0.98457,0.63798,0.65333,0.47078,1.3886,0.5986,1.30622,0.00115738,0.00115738,0.00115738
98,508.475,1.21568,0.59521,1.11743,0.98214,0.63399,0.65214,0.47111,1.36612,0.61793,1.3079,0.00115455,0.00115455,0.00115455
99,513.618,1.22929,0.59791,1.12921,0.98707,0.6358,0.65376,0.46475,1.35036,0.58783,1.2938,0.00115172,0.00115172,0.00115172
100,518.726,1.21464,0.58758,1.11954,0.98602,0.63435,0.65375,0.47148,1.36051,0.60039,1.29732,0.00114889,0.00114889,0.00114889
101,523.837,1.19247,0.58326,1.1077,0.98142,0.64125,0.65333,0.47015,1.35512,0.61489,1.29169,0.00114606,0.00114606,0.00114606
102,528.979,1.19029,0.57793,1.09882,0.98634,0.6358,0.65203,0.47226,1.36138,0.60364,1.29435,0.00114323,0.00114323,0.00114323
103,534.113,1.20242,0.58106,1.11059,0.98133,0.63628,0.69551,0.4805,1.37733,0.62499,1.30229,0.0011404,0.0011404,0.0011404
104,539.295,1.20038,0.57913,1.11009,0.98328,0.6398,0.65346,0.45591,1.44572,0.60732,1.32971,0.00113757,0.00113757,0.00113757
105,544.406,1.19343,0.57874,1.102,0.98277,0.63653,0.65514,0.47633,1.33096,0.57408,1.28369,0.00113474,0.00113474,0.00113474
106,549.519,1.19305,0.57495,1.11199,0.981,0.64161,0.66153,0.47378,1.34326,0.59725,1.29532,0.00113191,0.00113191,0.00113191
107,554.664,1.17428,0.56833,1.0989,0.98211,0.64018,0.66082,0.46744,1.38166,0.62106,1.3126,0.00112908,0.00112908,0.00112908
108,559.78,1.19247,0.57694,1.10698,0.98486,0.64018,0.66978,0.47166,1.40003,0.61455,1.3131,0.00112625,0.00112625,0.00112625
109,564.866,1.21854,0.57412,1.12552,0.98887,0.63696,0.65866,0.47792,1.35017,0.5817,1.29342,0.00112342,0.00112342,0.00112342
110,569.96,1.2182,0.58352,1.1136,0.98723,0.64016,0.66125,0.47232,1.41015,0.58782,1.31336,0.00112059,0.00112059,0.00112059
111,575.085,1.17295,0.56428,1.10804,0.98812,0.62868,0.66008,0.4623,1.44089,0.63958,1.33119,0.00111776,0.00111776,0.00111776
112,580.188,1.17147,0.56898,1.10277,0.98806,0.63569,0.66443,0.47667,1.41305,0.59298,1.31754,0.00111493,0.00111493,0.00111493
113,585.259,1.15822,0.55937,1.09795,0.98788,0.63725,0.66348,0.47978,1.32863,0.58485,1.28649,0.0011121,0.0011121,0.0011121
114,590.399,1.17756,0.56173,1.09439,0.98527,0.6398,0.66616,0.48381,1.33149,0.57328,1.2727,0.00110928,0.00110928,0.00110928
115,595.601,1.15298,0.55226,1.08011,0.83124,0.66203,0.67546,0.48156,1.3624,0.58933,1.28706,0.00110645,0.00110645,0.00110645
116,600.648,1.14093,0.54837,1.07792,0.85016,0.65949,0.66311,0.47998,1.33581,0.59119,1.29478,0.00110362,0.00110362,0.00110362
117,605.762,1.15859,0.55474,1.08945,0.96484,0.65368,0.67013,0.48081,1.37873,0.60052,1.29757,0.00110079,0.00110079,0.00110079
118,610.897,1.15615,0.55403,1.09272,0.96979,0.65215,0.67402,0.47706,1.43997,0.6109,1.32129,0.00109796,0.00109796,0.00109796
119,616.005,1.12807,0.53902,1.07225,0.93745,0.65187,0.67955,0.48992,1.32175,0.55988,1.28291,0.00109513,0.00109513,0.00109513
120,621.169,1.14283,0.54416,1.0852,0.8192,0.65681,0.67116,0.48078,1.37465,0.58821,1.30294,0.0010923,0.0010923,0.0010923
121,626.3,1.13558,0.55167,1.08478,0.7847,0.6751,0.68577,0.48443,1.3976,0.58576,1.31635,0.00108947,0.00108947,0.00108947
122,631.439,1.13914,0.54806,1.07781,0.89084,0.68168,0.68989,0.47576,1.44941,0.61058,1.33779,0.00108664,0.00108664,0.00108664
123,636.558,1.15211,0.55062,1.08565,0.84058,0.67601,0.68539,0.48438,1.37583,0.58321,1.29917,0.00108381,0.00108381,0.00108381
124,641.704,1.11709,0.53633,1.08648,0.9369,0.67165,0.69146,0.49012,1.36821,0.57019,1.29531,0.00108098,0.00108098,0.00108098
125,646.903,1.16511,0.55137,1.10084,0.90852,0.67827,0.69078,0.48356,1.36533,0.58839,1.31021,0.00107815,0.00107815,0.00107815
126,651.996,1.14575,0.54772,1.09723,0.8117,0.68764,0.7013,0.48752,1.37061,0.57788,1.29807,0.00107532,0.00107532,0.00107532
127,657.079,1.15362,0.54143,1.06442,0.85961,0.66911,0.69088,0.48026,1.43889,0.588,1.33753,0.00107249,0.00107249,0.00107249
128,662.094,1.13316,0.5413,1.08279,0.86345,0.67986,0.69978,0.49576,1.38767,0.57974,1.30647,0.00106966,0.00106966,0.00106966
129,667.28,1.10662,0.53851,1.06171,0.96344,0.68138,0.70182,0.49458,1.37479,0.6004,1.30084,0.00106683,0.00106683,0.00106683
130,672.411,1.13948,0.54673,1.0709,0.8899,0.67478,0.69043,0.47535,1.45491,0.62156,1.33048,0.001064,0.001064,0.001064
131,677.529,1.13599,0.53639,1.09179,0.96478,0.68236,0.70747,0.5039,1.32282,0.56135,1.28436,0.00106118,0.00106118,0.00106118
132,682.704,1.122,0.53545,1.07778,0.8713,0.68873,0.71389,0.4984,1.35124,0.58604,1.28468,0.00105835,0.00105835,0.00105835
133,688.277,1.08815,0.53115,1.06661,0.82171,0.69566,0.71103,0.49584,1.38859,0.57186,1.31283,0.00105552,0.00105552,0.00105552
134,693.774,1.12401,0.5332,1.08028,0.74512,0.72079,0.7234,0.49748,1.3888,0.56106,1.31636,0.00105269,0.00105269,0.00105269
135,698.961,1.13155,0.54623,1.08104,0.82379,0.71507,0.72542,0.5054,1.35055,0.5693,1.29334,0.00104986,0.00104986,0.00104986
136,704.183,1.14738,0.5553,1.07603,0.84111,0.70649,0.71794,0.48854,1.34639,0.56671,1.28966,0.00104703,0.00104703,0.00104703
137,709.297,1.1354,0.54277,1.07343,0.89357,0.68961,0.71312,0.49847,1.36089,0.5843,1.31466,0.0010442,0.0010442,0.0010442
138,714.907,1.11888,0.54111,1.08828,0.86412,0.71457,0.74039,0.50186,1.41319,0.5979,1.33038,0.00104137,0.00104137,0.00104137
139,720.385,1.10623,0.5328,1.07388,0.76993,0.72678,0.72718,0.49381,1.3697,0.56838,1.31792,0.00103854,0.00103854,0.00103854
140,725.675,1.09191,0.53066,1.06775,0.81056,0.70613,0.72197,0.49282,1.41316,0.61606,1.33912,0.00103571,0.00103571,0.00103571
141,730.829,1.11063,0.53094,1.07131,0.77753,0.73214,0.73725,0.49784,1.4143,0.58964,1.35035,0.00103288,0.00103288,0.00103288
142,735.985,1.12232,0.54411,1.07547,0.81134,0.72278,0.73239,0.49534,1.39579,0.58577,1.32069,0.00103005,0.00103005,0.00103005
143,741.127,1.09925,0.53738,1.07274,0.80732,0.74452,0.73962,0.50433,1.39093,0.57747,1.32822,0.00102722,0.00102722,0.00102722
144,746.339,1.09939,0.52868,1.06948,0.81517,0.71217,0.73968,0.48471,1.52474,0.63686,1.40999,0.00102439,0.00102439,0.00102439
145,751.486,1.11722,0.53343,1.09291,0.8306,0.74052,0.75191,0.51115,1.35256,0.54977,1.2973,0.00102156,0.00102156,0.00102156
146,756.846,1.07812,0.51871,1.06237,0.82748,0.7628,0.7606,0.50618,1.39172,0.56699,1.322,0.00101873,0.00101873,0.00101873
147,761.955,1.09332,0.52822,1.06686,0.83913,0.7457,0.75321,0.51256,1.36262,0.55189,1.31345,0.0010159,0.0010159,0.0010159
148,767.117,1.09134,0.525,1.06132,0.78652,0.72641,0.73465,0.49997,1.37953,0.5552,1.30705,0.00101308,0.00101308,0.00101308
149,772.264,1.06402,0.51382,1.05149,0.81072,0.72591,0.74274,0.50494,1.41889,0.55679,1.32107,0.00101025,0.00101025,0.00101025
150,777.386,1.06546,0.52394,1.05151,0.84787,0.73063,0.74204,0.50489,1.41744,0.60532,1.32286,0.00100742,0.00100742,0.00100742
151,782.67,1.06009,0.51428,1.04401,0.83823,0.74247,0.75643,0.51208,1.40579,0.58241,1.31824,0.00100459,0.00100459,0.00100459
152,787.804,1.0632,0.52263,1.05331,0.84579,0.74461,0.75758,0.52031,1.39949,0.57018,1.31847,0.00100176,0.00100176,0.00100176
153,793.018,1.06043,0.5109,1.044,0.83456,0.72277,0.74369,0.5012,1.41805,0.5923,1.3388,0.000998928,0.000998928,0.000998928
154,798.171,1.06153,0.51534,1.05517,0.81595,0.74774,0.75329,0.50958,1.38762,0.57381,1.31447,0.000996099,0.000996099,0.000996099
155,803.328,1.03469,0.50425,1.05073,0.8396,0.75305,0.76097,0.51628,1.35092,0.56593,1.29277,0.000993269,0.000993269,0.000993269
156,808.445,1.05301,0.51272,1.04686,0.852,0.74891,0.7635,0.50958,1.45997,0.57913,1.34236,0.00099044,0.00099044,0.00099044
157,813.516,1.06293,0.51307,1.06142,0.83017,0.75291,0.75721,0.5193,1.38869,0.56416,1.31777,0.00098761,0.00098761,0.00098761
158,818.634,1.04204,0.50495,1.03772,0.84403,0.76009,0.76721,0.51902,1.39585,0.58068,1.32417,0.000984781,0.000984781,0.000984781
159,823.761,1.02429,0.49795,1.03305,0.82039,0.75581,0.76299,0.51777,1.39687,0.56963,1.32111,0.000981952,0.000981952,0.000981952
160,828.656,1.02759,0.50164,1.03536,0.88979,0.73771,0.75889,0.51605,1.42522,0.58612,1.34398,0.000979122,0.000979122,0.000979122
161,833.722,1.01664,0.49089,1.03377,0.82672,0.73716,0.74855,0.51478,1.41014,0.5773,1.3374,0.000976293,0.000976293,0.000976293
162,838.835,1.05828,0.50861,1.04126,0.85685,0.74084,0.76351,0.52325,1.37395,0.57605,1.31605,0.000973463,0.000973463,0.000973463
163,844.012,1.03438,0.49519,1.01844,0.80614,0.74883,0.74547,0.50126,1.44797,0.59209,1.34158,0.000970634,0.000970634,0.000970634
164,849.152,1.05101,0.50933,1.04231,0.84591,0.7739,0.76406,0.51379,1.39859,0.567,1.32012,0.000967805,0.000967805,0.000967805
165,854.309,1.04767,0.50178,1.03875,0.84249,0.76285,0.78306,0.5204,1.43548,0.56625,1.33982,0.000964975,0.000964975,0.000964975
166,859.393,1.04088,0.50073,1.03604,0.86864,0.76797,0.78402,0.51704,1.46178,0.58681,1.33614,0.000962146,0.000962146,0.000962146
167,864.502,1.01129,0.49481,1.04095,0.84058,0.78222,0.78515,0.52514,1.38007,0.55316,1.30186,0.000959316,0.000959316,0.000959316
168,869.658,1.04446,0.50122,1.04372,0.88001,0.76244,0.77542,0.53005,1.36743,0.54626,1.29251,0.000956487,0.000956487,0.000956487
169,874.832,1.02036,0.49397,1.03529,0.88528,0.75531,0.77654,0.52926,1.35571,0.56421,1.29859,0.000953657,0.000953657,0.000953657
170,879.911,1.04198,0.49903,1.03418,0.93045,0.73911,0.79376,0.52436,1.4072,0.58661,1.31778,0.000950828,0.000950828,0.000950828
171,884.965,1.01205,0.49314,1.02739,0.89694,0.76507,0.8012,0.53416,1.35565,0.55212,1.29682,0.000947999,0.000947999,0.000947999
