epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,78.4881,1.23832,0.66409,1.01778,0.96755,0.91962,0.94783,0.67578,1.31131,0.66309,1.08161,0.000990365,0.000990365,0.000990365
43,80.2992,1.23807,0.65413,1.01748,0.97225,0.91851,0.94618,0.68112,1.25449,0.65418,1.06075,0.000973861,0.000973861,0.000973861
44,82.1517,1.20712,0.6425,1.00917,0.97487,0.9108,0.95752,0.69355,1.29541,0.64106,1.06408,0.000957358,0.000957358,0.000957358
45,83.971,1.21515,0.63751,1.00992,0.96988,0.91631,0.95631,0.69154,1.29319,0.63319,1.07219,0.000940855,0.000940855,0.000940855
46,85.8129,1.19061,0.63443,1.00229,0.96742,0.91796,0.95417,0.68642,1.28283,0.64419,1.07012,0.000924352,0.000924352,0.000924352
47,87.659,1.20034,0.63792,1.00686,0.96683,0.91686,0.95025,0.68804,1.26627,0.64421,1.07119,0.000907848,0.000907848,0.000907848
48,89.4945,1.21082,0.63972,1.00652,0.96534,0.92403,0.94595,0.66827,1.30116,0.65061,1.09835,0.000891345,0.000891345,0.000891345
49,91.3186,1.23285,0.64923,1.01507,0.97957,0.90904,0.95448,0.66875,1.32711,0.642,1.08699,0.000874842,0.000874842,0.000874842
50,93.1608,1.19395,0.61906,0.99861,0.96718,0.92237,0.95828,0.6898,1.2781,0.61842,1.06733,0.000858338,0.000858338,0.000858338
51,94.9849,1.18742,0.63296,1.00067,0.96272,0.92369,0.95418,0.69927,1.25506,0.62557,1.06189,0.000841835,0.000841835,0.000841835
52,96.8282,1.18905,0.62125,0.99672,0.96611,0.91993,0.95238,0.69759,1.27219,0.63106,1.06984,0.000825332,0.000825332,0.000825332
53,98.6573,1.19502,0.61566,1.0063,0.9652,0.91751,0.94961,0.68506,1.26347,0.63056,1.07569,0.000808828,0.000808828,0.000808828
54,100.473,1.18167,0.60853,0.99478,0.96389,0.91741,0.9455,0.68171,1.26838,0.6506,1.07307,0.000792325,0.000792325,0.000792325
55,102.301,1.18183,0.61025,1.00453,0.97425,0.91686,0.95346,0.67899,1.32151,0.63523,1.09689,0.000775822,0.000775822,0.000775822
56,104.13,1.17856,0.60906,0.99298,0.97238,0.91135,0.95556,0.68422,1.35346,0.64521,1.09931,0.000759318,0.000759318,0.000759318
57,105.951,1.20456,0.62411,1.01027,0.96828,0.92237,0.95683,0.68728,1.2841,0.63522,1.09268,0.000742815,0.000742815,0.000742815
58,107.797,1.18312,0.62317,1.00131,0.96412,0.92182,0.95456,0.69912,1.24662,0.61465,1.06334,0.000726312,0.000726312,0.000726312
59,109.62,1.17691,0.60651,0.99871,0.97204,0.91679,0.95855,0.69777,1.27153,0.61049,1.0597,0.000709809,0.000709809,0.000709809
60,111.437,1.15163,0.59792,0.99204,0.97064,0.92127,0.95181,0.67754,1.33983,0.63895,1.08781,0.000693305,0.000693305,0.000693305
61,113.283,1.1418,0.59201,0.99281,0.96781,0.92174,0.95281,0.69007,1.28761,0.62732,1.07855,0.000676802,0.000676802,0.000676802
62,115.13,1.15182,0.59577,0.98231,0.96423,0.92842,0.95218,0.69148,1.26016,0.6141,1.0641,0.000660299,0.000660299,0.000660299
63,116.972,1.154,0.58839,0.99377,0.96581,0.92674,0.94948,0.6875,1.25749,0.61061,1.06476,0.000643795,0.000643795,0.000643795
64,118.824,1.15396,0.6002,0.98082,0.97202,0.91686,0.95391,0.68276,1.32859,0.61739,1.09082,0.000627292,0.000627292,0.000627292
65,120.659,1.14965,0.59152,0.98489,0.97253,0.92017,0.95356,0.69312,1.26311,0.60659,1.07851,0.000610789,0.000610789,0.000610789
66,122.501,1.13305,0.58394,0.98955,0.96707,0.92403,0.95564,0.68386,1.30702,0.60827,1.09036,0.000594286,0.000594286,0.000594286
67,124.318,1.14785,0.5891,0.99041,0.97276,0.91962,0.95462,0.69566,1.29912,0.61065,1.06926,0.000577782,0.000577782,0.000577782
68,126.139,1.13962,0.57943,0.98687,0.96868,0.92348,0.96035,0.69436,1.29178,0.60701,1.06836,0.000561279,0.000561279,0.000561279
69,127.999,1.14086,0.57856,0.98585,0.9716,0.92417,0.95855,0.70095,1.26878,0.59411,1.06326,0.000544776,0.000544776,0.000544776
70,129.819,1.118,0.57946,0.97714,0.96607,0.92844,0.95666,0.70092,1.27016,0.59475,1.06568,0.000528272,0.000528272,0.000528272
71,131.652,1.11297,0.57203,0.98097,0.9632,0.92292,0.95391,0.68236,1.30896,0.61946,1.08326,0.000511769,0.000511769,0.000511769
72,133.475,1.11238,0.56595,0.97108,0.9689,0.92699,0.9558,0.69365,1.28457,0.59021,1.06409,0.000495266,0.000495266,0.000495266
73,135.298,1.1202,0.5677,0.96774,0.97323,0.93009,0.95852,0.6982,1.27858,0.57873,1.06969,0.000478762,0.000478762,0.000478762
74,137.126,1.10474,0.56573,0.97429,0.97323,0.92954,0.95658,0.69115,1.27857,0.58519,1.06722,0.000462259,0.000462259,0.000462259
75,138.941,1.10903,0.56404,0.9796,0.97152,0.92743,0.95791,0.70785,1.25469,0.57424,1.05847,0.000445756,0.000445756,0.000445756
76,140.776,1.10419,0.55943,0.98256,0.9713,0.92182,0.95536,0.69259,1.30047,0.59616,1.07199,0.000429253,0.000429253,0.000429253
77,142.581,1.10804,0.5588,0.97205,0.97191,0.91962,0.95462,0.69464,1.30027,0.59412,1.08424,0.000412749,0.000412749,0.000412749
78,144.397,1.09649,0.55983,0.9718,0.96728,0.92789,0.95937,0.70078,1.26158,0.58591,1.06917,0.000396246,0.000396246,0.000396246
