epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1727.07,1.11842,0.66263,0.83834,0.91687,0.85702,0.93082,0.65391,1.04426,0.65083,0.83223,0.0091882,0.0091882,0.0091882
43,1768.33,1.1029,0.635,0.83873,0.90862,0.8873,0.93424,0.64307,1.06841,0.62006,0.83007,0.0091684,0.0091684,0.0091684
44,1808.95,1.10835,0.64875,0.83772,0.92499,0.87123,0.93827,0.65434,1.07858,0.61069,0.83856,0.0091486,0.0091486,0.0091486
45,1849.27,1.11563,0.65357,0.83953,0.91587,0.87132,0.93435,0.6608,1.01256,0.61075,0.82865,0.0091288,0.0091288,0.0091288
46,1889.43,1.10584,0.62304,0.8386,0.88232,0.88225,0.93032,0.6503,1.04641,0.61344,0.83091,0.009109,0.009109,0.009109
47,1930.96,1.08495,0.61865,0.83325,0.92684,0.86304,0.94006,0.65948,1.03615,0.60146,0.82847,0.0090892,0.0090892,0.0090892
48,1972.18,1.09649,0.6187,0.8359,0.86167,0.86712,0.92036,0.6363,1.07447,0.63063,0.82882,0.0090694,0.0090694,0.0090694
49,2012.46,1.07742,0.62491,0.82819,0.91062,0.85682,0.93356,0.66299,1.02236,0.63246,0.83302,0.0090496,0.0090496,0.0090496
50,2052.88,1.09105,0.62638,0.83337,0.9092,0.87584,0.93643,0.6428,1.04214,0.61403,0.82538,0.0090298,0.0090298,0.0090298
51,2094.29,1.06542,0.6085,0.82835,0.88992,0.8635,0.92087,0.64241,1.06804,0.61307,0.8353,0.00901,0.00901,0.00901
52,2134.33,1.08191,0.61377,0.83316,0.92004,0.8587,0.9301,0.62779,1.05998,0.61652,0.82726,0.0089902,0.0089902,0.0089902
53,2174.83,1.05353,0.60533,0.83038,0.92081,0.88017,0.94457,0.66502,1.03614,0.57621,0.82147,0.0089704,0.0089704,0.0089704
54,2215.36,1.08732,0.61607,0.83162,0.90947,0.8873,0.93711,0.66596,1.01809,0.59653,0.82921,0.0089506,0.0089506,0.0089506
55,2257.55,1.0707,0.60244,0.83204,0.91688,0.87203,0.9392,0.65173,1.0289,0.58697,0.82728,0.0089308,0.0089308,0.0089308
56,2297.55,1.05251,0.60585,0.83334,0.91128,0.87256,0.93996,0.67749,0.98994,0.59298,0.8229,0.008911,0.008911,0.008911
57,2338.4,1.06281,0.61011,0.83274,0.93492,0.88814,0.95277,0.67789,1.01655,0.56694,0.8235,0.0088912,0.0088912,0.0088912
58,2378.6,1.06561,0.58895,0.82976,0.93451,0.88815,0.94918,0.66849,1.00463,0.55244,0.82285,0.0088714,0.0088714,0.0088714
59,2420.4,1.05215,0.61353,0.82318,0.94426,0.86918,0.94561,0.66931,1.01977,0.59208,0.82901,0.0088516,0.0088516,0.0088516
60,2460.22,1.04689,0.5877,0.82964,0.95261,0.8545,0.94109,0.67264,0.9975,0.57846,0.82239,0.0088318,0.0088318,0.0088318
61,2501.26,1.03299,0.58866,0.82482,0.9261,0.88536,0.94274,0.67643,0.99352,0.55996,0.82462,0.008812,0.008812,0.008812
62,2541.4,1.02702,0.58066,0.83148,0.89519,0.89655,0.93845,0.66026,0.98983,0.56368,0.81908,0.0087922,0.0087922,0.0087922
63,2582.61,1.03722,0.56903,0.82867,0.9348,0.88814,0.95134,0.68874,0.9697,0.54989,0.81858,0.0087724,0.0087724,0.0087724
64,2623.4,1.02928,0.58756,0.8314,0.92928,0.87314,0.9443,0.6724,1.00977,0.55831,0.82083,0.0087526,0.0087526,0.0087526
65,2663.83,1.04226,0.58908,0.82726,0.94451,0.87132,0.94829,0.66831,0.9846,0.53497,0.81679,0.0087328,0.0087328,0.0087328
66,2705.01,1.0352,0.58874,0.82693,0.91528,0.86123,0.93735,0.6612,1.00749,0.56875,0.82143,0.008713,0.008713,0.008713
67,2745.34,1.03761,0.59163,0.83339,0.92507,0.88225,0.94405,0.67583,1.0015,0.57028,0.82076,0.0086932,0.0086932,0.0086932
68,2786.38,1.02088,0.56291,0.82636,0.93265,0.89683,0.94838,0.68586,0.95591,0.52842,0.81489,0.0086734,0.0086734,0.0086734
69,2826.64,1.02836,0.57175,0.82445,0.91839,0.89823,0.9468,0.66264,1.01716,0.55813,0.81819,0.0086536,0.0086536,0.0086536
70,2867.42,1.02746,0.58479,0.82747,0.93284,0.88814,0.94865,0.67852,0.9995,0.52533,0.82104,0.0086338,0.0086338,0.0086338
71,2907.95,1.00594,0.55589,0.82474,0.94211,0.87601,0.95226,0.68039,0.99844,0.56555,0.81962,0.008614,0.008614,0.008614
72,2949.15,1.02667,0.57528,0.82428,0.93283,0.89319,0.95014,0.67273,1.00694,0.54976,0.8199,0.0085942,0.0085942,0.0085942
73,2989.52,1.00803,0.55935,0.82214,0.925,0.89319,0.94767,0.67759,0.98002,0.54146,0.81609,0.0085744,0.0085744,0.0085744
74,3029.69,1.01275,0.56909,0.82618,0.94626,0.89235,0.95098,0.68436,0.99191,0.55152,0.8221,0.0085546,0.0085546,0.0085546
75,3070.26,1.01642,0.57829,0.82647,0.91366,0.89005,0.94561,0.67039,0.98006,0.54581,0.8168,0.0085348,0.0085348,0.0085348
76,3110.54,1.02158,0.57835,0.82521,0.93795,0.87805,0.94694,0.68012,0.96977,0.5364,0.81933,0.008515,0.008515,0.008515
77,3152.24,1.01035,0.56769,0.83298,0.93128,0.88901,0.94927,0.69253,0.94543,0.53295,0.81672,0.0084952,0.0084952,0.0084952
